Geographic Area,City,Median Income
PA,Cochranville CDP,65208
MO,Liberty city,65210
CA,Redlands city,65212
ME,Lake Arrowhead CDP,65219
CO,Littleton city,65221
MI,Ferrysburg city,65221
MN,Madison Lake city,65227
OH,Forestville CDP,65227
CA,Camanche North Shore CDP,65231
IA,Luther city,65250
WI,Paddock Lake village,65250
PA,Ridley Park borough,65260
NY,Big Flats CDP,65269
IN,Bright CDP,65278
MD,Butlertown CDP,65278
TX,Jersey Village city,65280
FL,Miramar city,65282
WI,Middleton city,65283
MA,Nahant CDP,65284
NC,Stem town,65288
UT,Spanish Fork city,65294
WI,Genoa City village,65294
NC,Unionville town,65296
FL,Indialantic town,65305
NY,Beacon city,65305
NE,Yutan city,65313
ND,Forbes city,65313
PA,Newmanstown CDP,65313
AZ,Peoria city,65314
GA,Peachtree Corners city,65319
WI,Oak Creek city,65319
UT,Newcastle CDP,65324
VA,Mount Hermon CDP,65347
NY,Rapids CDP,65357
TX,La Vernia city,65357
CA,West Whittier-Los Nietos CDP,65363
WV,Neibert CDP,65363
WA,Gig Harbor city,65365
CT,Suffield Depot CDP,65366
DE,Fenwick Island town,65375
TX,Leroy city,65375
WA,Machias CDP,65375
OK,Yukon city,65377
OH,Stow city,65385
OK,Union City town,65385
CA,Nipinnawasee CDP,65389
MT,Maxville CDP,65391
CA,Mayflower Village CDP,65395
FL,Viera East CDP,65400
LA,Luling CDP,65400
SC,Northlake CDP,65409
AK,Big Delta CDP,65417
DE,Bethel town,65417
IA,Graf city,65417
MT,Helena Valley Northeast CDP,65417
WI,Pulcifer CDP,65417
WY,Alpine town,65417
WA,Marysville city,65434
CA,East Richmond Heights CDP,65438
SD,Baltic city,65438
WA,Manchester CDP,65438
TX,Pantego town,65463
IN,Taylorsville CDP,65469
KS,Maple Hill city,65469
NY,Roosevelt CDP,65469
CA,Burbank CDP,65472
PA,Shenandoah Heights CDP,65473
MD,Fairplay CDP,65486
PA,Hampton CDP,65486
MI,Sylvan Lake city,65489
MI,Saline city,65497
VA,Suffolk city,65499
FL,Duck Key CDP,65500
LA,Red Chute CDP,65500
MO,Oakwood Park village,65500
NE,Duncan village,65500
OH,Maineville village,65500
WI,Abrams CDP,65500
KS,Holcomb city,65521
OH,Anna village,65521
OH,Chagrin Falls village,65523
MD,Dawson CDP,65536
MN,Clements city,65536
GA,Tybee Island city,65545
NJ,Wildwood Crest borough,65547
NJ,Madison Park CDP,65549
IA,Lawton city,65556
TX,Warren CDP,65597
TX,Cedar Point CDP,65611
DE,Clayton town,65612
MD,Lexington Park CDP,65613
IA,Maxwell city,65625
KS,Lehigh city,65625
KY,Forest Hills city,65625
MT,Whitewater CDP,65625
NE,McLean village,65625
OK,Elgin city,65625
OR,Warren CDP,65625
PA,East Washington borough,65625
TX,Aquilla city,65625
TX,Scurry town,65625
TX,Taylor Landing city,65625
UT,Huntsville town,65625
WI,Allenton CDP,65625
MD,Walker Mill CDP,65631
IL,Andalusia village,65637
CA,Healdsburg city,65638
IN,Brownsburg town,65651
KY,Independence city,65653
NV,Moapa Valley CDP,65654
IN,Schererville town,65661
MN,Hermantown city,65662
MD,Church Hill town,65670
PA,Hemlock Farms CDP,65670
MD,Woodlawn CDP (Baltimore County),65674
CO,Pueblo West CDP,65681
OH,Russia village,65682
IN,Roanoke town,65694
OK,Velma town,65694
WI,Mount Horeb village,65703
AZ,Morenci CDP,65706
MD,Fruitland city,65707
WV,Harpers Ferry town,65714
WI,Windsor CDP,65714
MI,Milan city,65726
MD,District Heights city,65732
AK,South Van Horn CDP,65750
OR,Aloha CDP,65765
TN,Kingston Springs town,65767
AL,Level Plains town,65769
GA,St. Simons CDP,65769
TX,Danbury city,65769
CA,Signal Hill city,65773
KY,Fort Wright city,65774
TX,Oak Ridge town (Kaufman County),65781
OH,North Ridgeville city,65783
MI,Royal Oak city,65786
AZ,Maricopa city,65793
CO,Air Force Academy CDP,65795
IL,Cordova village,65815
MD,Woodlawn CDP (Prince George's County),65817
OR,Ruch CDP,65817
ME,North Windham CDP,65828
CA,East San Gabriel CDP,65833
CO,El Moro CDP,65833
KY,McCarr CDP,65833
NY,Speculator village,65833
TX,Simonton city,65833
VT,South Burlington city,65840
OH,Camp Dennison CDP,65848
CA,Valinda CDP,65849
AK,Meadow Lakes CDP,65850
PA,Adamstown borough,65862
OK,Owasso city,65881
AK,Kasilof CDP,65893
CA,Keene CDP,65893
WA,Indianola CDP,65893
IN,New Goshen CDP,65897
MA,Hatfield CDP,65903
UT,Toquerville city,65909
WY,Dayton town,65917
WA,Brady CDP,65926
IA,Lambs Grove city,65938
OH,Fort Loramie village,65938
SD,Brant Lake CDP,65938
SD,St. Lawrence town,65938
AL,Southside city,65946
IN,New Palestine town,65947
MN,Avon city,65962
VA,Blue Ridge Shores CDP,65966
CA,Fullerton city,65974
OH,Mount Repose CDP,65980
NY,Scotchtown CDP,65991
PA,Tipton CDP,65993
FL,Biscayne Park village,66000
NE,Battle Creek city,66000
WY,Hyattville CDP,66000
VA,Smithfield town,66004
PA,Souderton borough,66007
IL,South Holland village,66010
WA,Shoreline city,66020
MI,Stony Point CDP,66023
NY,North Bellport CDP,66023
GA,Edge Hill city,66042
ME,Casco CDP,66042
WI,Amherst Junction village,66042
RI,Warwick city,66044
IL,Coyne Center CDP,66048
WA,Milton city,66050
CA,Chalfant CDP,66051
CO,Commerce City city,66053
MD,Fishing Creek CDP,66058
WI,Lake Ripley CDP,66059
CA,Burbank city,66076
NJ,Lakehurst borough,66078
PA,Green Tree borough,66078
SD,Worthing city,66083
CA,Rancho Mirage city,66086
LA,Meraux CDP,66087
ND,Lincoln city,66090
CO,Sedalia CDP,66094
DE,Viola town,66094
VA,Sudley CDP,66100
MD,Solomons CDP,66101
CA,Santa Barbara city,66107
MT,Amsterdam CDP,66111
WI,Butte des Morts CDP,66111
CA,San Diego city,66116
CA,Esparto CDP,66118
LA,Broussard city,66124
CA,Red Corral CDP,66125
KY,Douglass Hills city,66125
KY,Cayce CDP,66146
FL,Destin city,66148
NY,Brighton CDP,66149
NY,Wilmington CDP,66150
MN,Hampton city,66154
GA,Pooler city,66161
NY,Copiague CDP,66161
OH,South Canal CDP,66161
TX,Fresno CDP,66161
IL,Willowbrook village,66163
CA,Monterey city,66166
MO,Bel-Nor village,66167
CA,Templeton CDP,66169
MO,Concord CDP,66170
IL,Waterman village,66172
MO,Spokane CDP,66176
WI,Sun Prairie city,66177
IN,Shadeland town,66179
ME,Scarborough CDP,66186
IN,Highland CDP,66188
OH,Lake Lakengren CDP,66190
FL,Richmond West CDP,66201
IN,Tecumseh CDP,66216
NM,Navajo Dam CDP,66216
WA,Alderton CDP,66223
CA,Berkeley city,66237
MI,Lambertville CDP,66237
AK,Anaktuvuk Pass city,66250
FL,Layton city,66250
IA,McClelland city,66250
IA,Raymond city,66250
KS,Cullison city,66250
MD,Chance CDP,66250
MN,Mendota city,66250
MN,Searles CDP,66250
MN,Wilton city,66250
MS,Wade CDP,66250
MO,Airport Drive village,66250
NJ,Folsom borough,66250
NJ,South Toms River borough,66250
NC,Beech Mountain town,66250
NC,Forest Hills village,66250
ND,Spiritwood Lake city,66250
OK,Freedom town,66250
PA,Goldsboro borough,66250
PA,Green Hills borough,66250
PA,Wellsville borough,66250
SC,Mayo CDP,66250
SD,Butler town,66250
SD,Kranzburg town,66250
TX,New Berlin city,66250
TX,White Deer town,66250
UT,Flaming Gorge CDP,66250
VA,Sussex CDP,66250
WI,Tainter Lake CDP,66250
NJ,North Plainfield borough,66272
HI,Captain Cook CDP,66276
AR,Vilonia city,66277
FL,Gonzalez CDP,66283
PA,Delmont borough,66293
LA,Erwinville CDP,66296
TX,Morgan's Point Resort city,66299
MN,Dundas city,66300
WI,Allouez village,66309
TX,Richwood city,66311
NH,Seabrook Beach CDP,66318
AZ,Sahuarita town,66339
NJ,White House Station CDP,66345
NY,East Aurora village,66346
VA,Bailey's Crossroads CDP,66352
NJ,Rosenhayn CDP,66353
NH,Hudson CDP,66368
MA,Holbrook CDP,66370
UT,Maeser CDP,66372
LA,Belmont CDP,66375
CO,Keystone CDP,66383
OR,Tualatin city,66384
OH,Walton Hills village,66389
OR,Scotts Mills city,66389
OH,Grove City city,66403
FL,Northdale CDP,66405
LA,Mathews CDP,66417
NY,Hamburg village,66426
MT,Elliston CDP,66429
NV,Verdi CDP,66429
FL,Coral Springs city,66430
NY,Central Islip CDP,66430
MN,St. Louis Park city,66432
MO,Barnhart CDP,66438
NY,Peconic CDP,66442
ND,Killdeer city,66442
NY,New Windsor CDP,66443
CA,Suisun City city,66452
CA,Whittier city,66457
NJ,Cape May Court House CDP,66458
CA,Costa Mesa city,66459
AK,Two Rivers CDP,66466
NC,Pine Knoll Shores town,66466
CA,Montalvin Manor CDP,66467
MI,Gibraltar city,66477
NJ,North Arlington borough,66484
TX,Spring CDP,66484
IL,Millstadt village,66492
NH,Exeter CDP,66495
FL,Riverview CDP,66497
TX,Jones Creek village,66512
KY,Doe Valley CDP,66518
OH,Lafayette CDP,66522
LA,Norco CDP,66534
MD,Adelphi CDP,66555
VA,Triangle CDP,66558
CO,Aspen Park CDP,66563
IL,Downs village,66563
IL,Lake Catherine CDP,66563
OH,Donnelsville village,66563
NJ,Wharton borough,66579
IL,Savoy village,66583
NC,Indian Trail town,66589
AL,Fredonia CDP,66591
NJ,Surf City borough,66597
FL,Miami Lakes town,66601
CA,Atascadero city,66607
CA,College City CDP,66607
HI,Kahului CDP,66625
VA,Virginia Beach city,66634
IL,Tolono village,66635
PA,Gouglersville CDP,66635
SC,Hilton Head Island town,66646
FL,Plantation city,66647
VA,Rockwood CDP,66649
NJ,Union Beach borough,66662
AK,Pelican city,66667
CA,Alpine Village CDP,66667
IL,Royal village,66667
MN,Alberta city,66667
NJ,Ocean Gate borough,66667
ND,Lansford city,66667
OK,Dodge CDP,66667
SD,Groton city,66667
UT,Cleveland town,66667
UT,Laketown town,66667
CT,Danbury city,66676
CA,Hidden Valley Lake CDP,66682
NJ,Sea Isle City city,66683
MT,Helena Valley West Central CDP,66692
LA,Paulina CDP,66698
PA,Norwood borough,66698
CA,Pajaro Dunes CDP,66705
CT,Stonington borough,66705
WY,Smoot CDP,66705
UT,Peter CDP,66715
WI,Hartland village,66721
PA,Amity Gardens CDP,66736
TX,Central Gardens CDP,66736
CA,Green Valley CDP (Solano County),66750
CO,Ouray city,66750
DE,Ardencroft village,66750
IL,Menominee village,66750
UT,Wellsville city,66767
IA,Newhall city,66771
IA,St. Charles city,66771
VA,Palmyra CDP,66786
FL,Conway CDP,66795
FL,Whitfield CDP (Manatee County),66795
NC,Flat Rock village,66813
CO,New Castle town,66818
NE,Utica village,66818
MD,Bel Air town,66828
MA,Harwich Center CDP,66833
IN,Smithville-Sanders CDP,66851
CT,Oakville CDP,66863
AK,Dillingham city,66875
DE,Dewey Beach town,66875
IL,Batchtown village,66875
IL,Marquette Heights city,66875
IA,Alburnett city,66875
IA,Houghton city,66875
PA,Reamstown CDP,66875
CT,Stratford CDP,66886
IA,Sioux Center city,66906
FL,Royal Palm Beach village,66915
OK,Choctaw city,66927
PA,Belfast CDP,66938
OH,Roaming Shores village,66940
NE,Chalco CDP,66944
CO,Thornton city,66948
HI,Kalaoa CDP,66948
CA,Winters city,66959
PA,Edgewood borough,66964
UT,Thatcher CDP,66964
NY,Warwick village,66987
NY,Walden village,66989
LA,Village St. George CDP,66990
CA,San Buenaventura (Ventura) city,66995
IL,Skokie village,66999
NE,Hallam village,67000
TX,Red Oak city,67013
FL,Navarre CDP,67023
MN,Martin Lake CDP,67031
WI,Lake Koshkonong CDP,67031
MN,Oakdale city,67036
IL,Hinckley village,67045
TX,McDade CDP,67045
FL,Lake Clarke Shores town,67052
NJ,Carteret borough,67068
CO,Westminster city,67081
IA,Lakeside city,67083
KY,Wildwood city,67083
NM,Tesuque CDP,67083
NJ,Pemberton borough,67098
LA,Destrehan CDP,67099
PA,Lake Wynonah CDP,67100
MD,Mount Briar CDP,67105
KY,Plano CDP,67108
MN,Medford city,67112
NC,Southmont CDP,67114
WY,Jackson town,67117
MN,North Branch city,67122
GA,Calvary CDP,67125
KY,Meadow Vale city,67125
OK,Broken Arrow city,67131
NJ,Margate City city,67138
NY,Great Neck Plaza village,67138
MA,Whitinsville CDP,67141
OH,New Franklin city,67142
IL,Georgetown CDP,67143
PA,Hatboro borough,67146
TN,Pleasant View city,67157
WI,Prescott city,67159
CO,Aspen city,67164
NJ,Forked River CDP,67167
NY,Nassau village,67188
OH,Whites Landing CDP,67203
PA,Village Green-Green Ridge CDP,67204
CA,Fort Washington CDP,67221
WA,Alderwood Manor CDP,67222
WA,Allyn CDP,67237
PA,Sanatoga CDP,67238
NH,Nashua city,67246
CA,Lake Almanor Peninsula CDP,67250
LA,Abita Springs town,67250
MA,Hudson CDP,67258
FL,Woodlawn Beach CDP,67260
PA,Fairhope CDP,67266
CO,Chacra CDP,67292
MO,Lone Jack city,67292
NJ,Shiloh borough,67292
NC,Lake Park village,67292
VA,Tuckahoe CDP,67292
NJ,Branchville borough,67308
UT,Jensen CDP,67308
OH,Pleasant Run CDP,67318
ID,Dalton Gardens city,67321
MN,Randolph city,67321
PA,Grill CDP,67321
LA,Old Jefferson CDP,67330
PA,Glenburn CDP,67333
IL,Kingston village,67344
NJ,Little Ferry borough,67357
HI,Lahaina CDP,67362
CA,Fairfield city,67364
KS,Mulvane city,67367
PA,Loganville borough,67375
OR,Dundee city,67384
IA,Oakland city,67386
PA,Gilbertsville CDP,67399
IA,Ventura city,67422
KS,Gardner city,67422
NC,Clemmons village,67437
IL,Davis Junction village,67438
NE,Glenwood CDP,67461
NC,Mint Hill town,67477
SC,Lesslie CDP,67477
WA,Richland city,67483
CA,Solvang city,67484
GA,Holly Springs city,67488
CT,Falls Village CDP,67500
IL,Lost Nation CDP,67500
IN,Princes Lakes town,67500
IA,Dike city,67500
MN,Dakota city,67500
MN,Long Beach city,67500
MN,Nerstrand city,67500
MO,St. Elizabeth village,67500
MT,Stockett CDP,67500
NC,Washington Park town,67500
ND,Davenport city,67500
OH,Kettlersville village,67500
PA,Cross Roads borough,67500
PA,New Schaefferstown CDP,67500
PA,Nuangola borough,67500
WI,Diamond Bluff CDP,67500
WI,Winchester CDP,67500
FL,Three Lakes CDP,67509
NJ,Manahawkin CDP,67518
WA,Black Diamond city,67526
PA,Swartzville CDP,67528
CO,Redlands CDP,67538
TX,Manor city,67542
OH,Canfield city,67543
PA,South Temple CDP,67549
NJ,Stratford borough,67556
WA,Port Ludlow CDP,67567
VA,Chatmoss CDP,67571
OH,Lake Tomahawk CDP,67574
ND,Gwinner city,67583
TN,Hopewell CDP,67586
WI,Lake Wissota CDP,67602
KY,Woodland Hills city,67604
PA,Orwin CDP,67604
MD,Garrison CDP,67609
IA,Orleans city,67614
OH,Bascom CDP,67619
OH,Glandorf village,67639
RI,Weekapaug CDP,67639
TX,Coahoma town,67647
IL,Hanover Park village,67650
WA,Lake Stickney CDP,67664
MA,Salisbury CDP,67667
TX,Cedar Hill city,67669
OH,Olmsted Falls city,67672
CA,Casmalia CDP,67679
IL,Ogden village,67679
IN,Whiteland town,67679
NE,South Bend village,67679
OH,Winesburg CDP,67679
PA,Linntown CDP,67679
IL,New Berlin village,67692
LA,Livonia town,67692
TX,Addison town,67695
AR,Elm Springs city,67700
PA,Plum borough,67700
NJ,Dover Beaches North CDP,67708
NY,Holland Patent village,67708
OH,Dundee CDP,67708
TN,Falling Water CDP,67708
OK,Mustang city,67719
PA,Jeddo borough,67727
WA,Four Lakes CDP,67727
MA,Attleboro city,67736
IL,Burnt Prairie village,67750
NE,Odessa CDP,67750
TX,Shenandoah city,67750
WI,Belleville village,67750
OR,Hillsboro city,67757
TN,White House city,67763
UT,Santa Clara city,67776
OH,Newtown village,67778
PA,Oley CDP,67782
MI,Goodrich village,67788
MN,Lonsdale city,67792
WI,Belgium village,67794
PA,South Park Township CDP,67796
PA,Pennsburg borough,67797
MI,Argentine CDP,67802
AZ,Williamson CDP,67804
OR,Cedar Hills CDP,67804
IL,Mound Station village,67813
IN,Kingsbury town,67813
MD,Havre de Grace city,67813
NY,Mannsville village,67813
WY,Lyman town,67813
FL,Maitland city,67818
KS,Cheney city,67826
OH,Day Heights CDP,67829
CO,Vail town,67833
AZ,Saddlebrooke CDP,67834
MN,Wayzata city,67835
WA,Monroe city,67844
FL,Lutz CDP,67847
MA,Sandwich CDP,67857
NY,Unionville village,67857
ND,Milton city,67857
TX,Coupland city,67857
UT,Willard city,67857
PA,Bear Rocks CDP,67865
NY,Grandyle Village CDP,67868
AZ,Gold Canyon CDP,67876
OR,Eagle Crest CDP,67885
PA,Spring Mills CDP,67885
FL,Sunset CDP,67888
PA,Camp Hill borough,67888
MO,Oronogo city,67891
OH,Old Fort CDP,67891
PA,Paradise CDP,67895
MI,Bath CDP,67903
TX,Nassau Bay city,67905
AL,Pelham city,67907
CA,North El Monte CDP,67917
IL,Caledonia village,67917
MA,Blandford CDP,67917
TX,Rose Hill Acres city,67917
UT,Avon CDP,67917
WI,Silver Lake village,67917
PA,Mountainhome CDP,67933
WV,Tornado CDP,67941
DE,Millville town,67955
WI,McFarland village,67961
NJ,Oaklyn borough,67969
NY,Macedon village,67969
NJ,Asbury CDP,67986
NJ,Clifton city,67992
FL,Estero village,67993
CA,Inyokern CDP,67994
LA,Paradis CDP,68000
MD,Colmar Manor town,68000
OR,Wamic CDP,68000
WI,Adell village,68000
WI,Lake Ivanhoe CDP,68000
WA,Camano CDP,68002
AK,Unalakleet city,68015
MD,Shaft CDP,68021
CA,Napa city,68038
MD,Thurmont town,68043
WV,Rachel CDP,68043
CT,Plantsville CDP,68056
NY,Quiogue CDP,68056
PA,Palmer Heights CDP,68056
IL,Crete village,68068
IL,Swansea village,68078
WA,North Marysville CDP,68083
NY,Patchogue village,68117
CA,Rainbow CDP,68125
CO,Red Cliff town,68125
IA,Osterdock city,68125
LA,Port Vincent village,68125
MN,Long Lake city,68125
NY,Copake Lake CDP,68125
PA,New Berlinville CDP,68125
TX,Rhome city,68125
NV,Enterprise CDP,68137
MD,Bowleys Quarters CDP,68139
CA,Lake Mathews CDP,68140
IN,Trail Creek town,68148
NM,Paradise Hills CDP,68148
AK,Ester CDP,68163
HI,Waialua CDP,68167
IL,Oakbrook Terrace city,68167
OH,Mayfield village,68191
WI,Williams Bay village,68191
OH,Perry village,68194
LA,Central city,68195
KY,Alexandria city,68200
MN,Kasson city,68200
MN,Dumont city,68214
PA,Leesport borough,68214
UT,Woodruff town,68214
MA,Framingham CDP,68219
IL,Lexington city,68224
TX,Combine city,68224
KY,Graymoor-Devondale city,68241
AK,Knik River CDP,68250
ND,South Heart city,68250
PA,Coburn CDP,68250
MN,Jordan city,68252
NJ,Avenel CDP,68261
NJ,Bordentown city,68266
IN,Laconia town,68286
TX,Valley View city,68289
VA,Glen Allen CDP,68292
NH,Hooksett CDP,68294
CA,Concord city,68318
TX,Dickinson city,68324
AK,Buffalo Soapstone CDP,68333
MD,Forestville CDP,68333
NE,Harbine village,68333
WI,Diaperville CDP,68333
TX,La Porte city,68341
MD,Peppermill Village CDP,68350
NC,Swepsonville town,68350
MD,South Laurel CDP,68358
HI,Mokuleia CDP,68359
OH,Pataskala city,68361
NY,Glen Cove city,68362
MO,Richmond Heights city,68364
IL,St. Joseph village,68365
NY,East Patchogue CDP,68366
AL,Meridianville CDP,68368
NY,Castleton-on-Hudson village,68375
TX,DeCordova city,68380
IL,Homewood village,68384
MA,Bourne CDP,68393
MN,Clearwater city,68393
OH,Andersonville CDP,68393
WI,Brice Prairie CDP,68393
HI,Waimanalo CDP,68398
OH,Clayton city,68406
NY,East Nassau village,68438
NY,Elbridge village,68438
OH,Tontogany village,68438
OK,North Enid town,68438
UT,West Jordan city,68442
MN,Arnold CDP,68458
AL,Gulfcrest CDP,68462
AR,Cave Springs city,68462
MN,Gilman city,68472
TX,Lake Cherokee CDP,68478
NY,Fort Ann village,68482
ID,Placerville city,68500
GA,Woodstock city,68504
NY,Northville CDP,68507
PA,Avondale borough,68516
UT,River Heights city,68516
MD,Laurel city,68517
TX,Reno city (Lamar County),68523
IL,Elk Grove Village village,68527
VA,Forest CDP,68529
GA,Wilmington Island CDP,68534
WA,Clear Lake CDP (Skagit County),68542
PA,Gibraltar CDP,68550
NY,Mount Kisco village,68556
IL,Ellsworth village,68571
IL,El Dara village,68583
GA,Vinings CDP,68610
KY,Masonville CDP,68618
VA,Chesapeake city,68620
IA,Amana CDP,68625
NV,Silver Peak CDP,68625
AK,Petersburg CDP,68641
MT,Carlton CDP,68646
PA,Topton borough,68646
VA,Prices Fork CDP,68646
NJ,Waretown CDP,68681
VT,Shelburne CDP,68694
AZ,Wintersburg CDP,68702
PA,Oak Hills CDP,68708
AL,Clay city,68717
PA,Linglestown CDP,68719
WA,Esperance CDP,68722
PA,Willow Grove CDP,68726
KS,Derby city,68736
AK,Iliamna CDP,68750
CA,Descanso CDP,68750
CA,March ARB CDP,68750
CO,Rangely town,68750
FL,Montverde town,68750
HI,Eleele CDP,68750
IL,Teutopolis village,68750
IN,Somerset CDP,68750
IA,Bronson city,68750
IA,Riverdale city,68750
IA,Sherrill city,68750
IA,Welton city,68750
KY,Woodlawn Park city,68750
LA,Hayes CDP,68750
MN,Coates city,68750
MO,Josephville village,68750
MO,Ridgely village,68750
NE,Abie village,68750
NY,Town Line CDP,68750
ND,Hampden city,68750
OH,Pleasant Run Farm CDP,68750
PA,Friendsville borough,68750
TX,Pattison city,68750
UT,Cedar Fort town,68750
UT,Lynndyl town,68750
VA,Washington town,68750
TN,Tellico Village CDP,68771
CA,Larkfield-Wikiup CDP,68787
FL,Palm Beach Gardens city,68802
IL,Beach Park village,68811
CA,Crest CDP,68816
NJ,Highland Park borough,68837
NJ,Ridgefield borough,68843
NY,Middle Island CDP,68847
IL,Hampton village,68850
IL,Coal Valley village,68854
NJ,Northfield city,68854
UT,Eden CDP,68854
ME,Berwick CDP,68869
UT,Glenwood town,68869
CA,Live Oak CDP,68875
TX,Wink city,68882
IA,Mount Vernon city,68910
TN,New Union CDP,68913
AK,Pleasant Valley CDP,68929
CA,Julian CDP,68929
CA,Lake Don Pedro CDP,68929
WI,Hatley village,68929
TX,Lake Dallas city,68933
WA,Union CDP,68934
WA,Rainier city,68942
CT,Windsor Locks CDP,68944
TX,Buda city,68945
TX,Beach City city,68950
OR,Riverside CDP,68958
TX,Inez CDP,68958
TX,La Minita CDP,68958
CA,Dollar Point CDP,68967
TN,Oakland town,68967
OK,Forest Park town,68977
PA,Trumbauersville borough,68977
VA,Stafford Courthouse CDP,68977
WV,Pinch CDP,68986
CA,Bonsall CDP,68987
KS,Ozawkie city,69000
KY,Beechwood Village city,69000
MI,Village of Clarkston city,69000
CA,East Whittier CDP,69006
UT,Mona city,69010
UT,Eagle Mountain city,69018
VT,Dorset CDP,69022
WA,Frederickson CDP,69032
CA,Salida CDP,69033
WI,Caledonia village,69045
RI,Tiverton CDP,69054
CT,Portland CDP,69058
IL,Damiansville village,69063
SC,Little Mountain town,69063
WV,St. George CDP,69063
IL,West Chicago city,69071
WI,Hales Corners village,69076
CA,Clarksburg CDP,69083
NM,San Rafael CDP,69103
TX,Hideaway city,69110
MT,Worden CDP,69120
MA,Weymouth Town city,69123
NJ,Williamstown CDP,69132
IL,Troy city,69137
IA,Middle Amana CDP,69141
KY,Fairview CDP,69141
CA,Hollister city,69157
CA,Silver Lakes CDP,69157
NJ,Kingston Estates CDP,69159
PA,Horsham CDP,69160
IL,Panola village,69167
IN,Georgetown town,69167
MO,St. Martins city,69167
MT,Little Bitterroot Lake CDP,69167
NJ,Harvey Cedars borough,69167
TX,Midland city,69173
CA,West Covina city,69189
ME,Cape Neddick CDP,69194
CT,Guilford Center CDP,69200
LA,Bayou Gauche CDP,69211
NV,Virginia City CDP,69219
UT,Lake Shore CDP,69231
CO,Eaton town,69242
OR,Aurora city,69250
CA,Oak Hills CDP,69260
IA,Dallas Center city,69265
IN,Point Isabel CDP,69271
GA,Brookhaven city,69277
MO,Cleveland city,69286
NV,Moapa Town CDP,69297
MD,Seabrook CDP,69307
OH,Dry Ridge CDP,69310
MN,Forest Lake city,69315
TX,Four Corners CDP,69342
WV,Shannondale CDP,69345
TX,Carrollton city,69368
AK,Diamond Ridge CDP,69375
FL,Hillcrest Heights town,69375
IL,Addieville village,69375
IA,Silver City city,69375
IA,Willey city,69375
MN,Turtle River city,69375
OH,Haskins village,69375
OR,Cayuse CDP,69375
SD,Warner town,69375
TX,Boys Ranch CDP,69375
TX,Weston city,69375
FL,Loxahatchee Groves town,69394
RI,Hope Valley CDP,69408
UT,Layton city,69408
WI,DeForest village,69418
CT,Deep River Center CDP,69432
IL,Bonfield village,69432
HI,Holualoa CDP,69444
IA,Palo city,69444
WI,Wauwatosa city,69460
CA,Iron Horse CDP,69464
MD,National Harbor CDP,69477
NY,Fairview CDP (Dutchess County),69485
TX,Edgecliff Village town,69485
CA,Lompico CDP,69500
OH,Curtice CDP,69500
FL,Mount Plymouth CDP,69513
HI,Hawaii,69515
WI,Johnson Creek village,69519
IL,Mount Prospect village,69520
PA,Cherryville CDP,69523
HI,Wailua Homesteads CDP,69527
TX,Woodbranch city,69545
ND,West Fargo city,69549
FL,Land O' Lakes CDP,69561
MT,Frenchtown CDP,69570
CO,Basalt town,69583
IA,Haverhill city,69583
MD,Vale Summit CDP,69583
OH,Van Buren village,69583
NY,Gardnertown CDP,69594
SC,India Hook CDP,69594
AZ,Pinion Pines CDP,69605
PA,Sellersville borough,69612
OH,Minster village,69615
VA,Warrenton town,69617
VA,Marumsco CDP,69623
LA,Stonewall town,69625
MA,Sagamore CDP,69637
VA,North Shore CDP,69637
AK,Skagway CDP,69643
IL,Herscher village,69650
VA,Fort Belvoir CDP,69653
NY,Uniondale CDP,69655
TX,Anna city,69663
HI,Waipahu CDP,69665
WY,Rock Springs city,69667
OH,Elida village,69674
TX,Burleson city,69686
DE,Ocean View town,69688
VA,Bon Air CDP,69703
NC,Lake Norman of Catawba CDP,69710
NC,Sunbury CDP,69712
NY,Peru CDP,69713
MN,Becker city,69730
AK,Haines CDP,69735
OR,Oatfield CDP,69744
IA,Altoona city,69748
HI,Waimea CDP (Kauai County),69750
MO,Birmingham village,69750
ND,Berthold city,69750
ND,Karlsruhe city,69750
HI,Wailuku CDP,69768
SD,Hartford city,69773
WI,Waterloo city,69779
IL,Lombard village,69787
NY,Fairport village,69788
SD,Lake Madison CDP,69792
OR,West Slope CDP,69799
FL,Berrydale CDP,69803
MI,Lake Orion village,69813
UT,Woods Cross city,69814
MO,Pasadena Hills city,69821
NY,Clarence CDP,69821
WI,Elmwood Park village,69821
IL,Island Lake village,69833
NJ,Merchantville borough,69833
IN,Noblesville city,69841
IL,Hamel village,69844
KS,Maize city,69855
IL,Oak Forest city,69866
NY,Ransomville CDP,69875
PA,Levittown CDP,69878
OH,Sunbury village,69882
PA,Conashaugh Lakes CDP,69886
PA,Kulpsville CDP,69886
MD,Owings Mills CDP,69891
NE,Malcolm village,69896
OH,Sylvania city,69897
OH,Mentor city,69902
NY,Tuckahoe village,69906
FL,Melbourne Beach town,69917
FL,Manasota Key CDP,69931
MD,Cavetown CDP,69931
KY,Burlington CDP,69932
CO,Arvada city,69938
ID,Tyhee CDP,69946
TX,Whitehouse city,69957
OH,Kenwood CDP,69969
CO,Ophir town,70000
IL,Mount Zion village,70000
IA,Treynor city,70000
KY,Lincolnshire city,70000
MN,Rice city,70000
MO,Monticello village,70000
MO,Pasadena Park village,70000
OK,Valley Park town,70000
OR,Durham city,70000
PA,Churchtown CDP,70000
PA,Indian Lake borough,70000
PA,Rheems CDP,70000
PA,Shanksville borough,70000
PA,Waller CDP,70000
